Parameter Name,type,Description,Value,Last version,需求备注,Event,采集端,参数口径,AI执行说明
active_scene_id,String,Active Scene ID,为空表示无,v1.0.0,,Chat Message Sent,BE,Active Scene ID。取值边界：为空表示无。以服务端状态/日志为准。,后端权威参数，前端不要猜测或伪造；AI 实现时应从接口返回/服务端状态取得。
app_state,String,App 状态,foreground / background / killed,v1.0.0,,Voice Call Event,FE,App 状态。取值边界：foreground / background / killed。以前端真实用户行为或客户端状态为准。,前端参数，只记录真实曝光/点击/播放/输入状态；不要从文案或预加载推断。
app_version,String,App 版本,v1.0.0,v1.0.0,,App Launch,Common,App 版本。取值边界：v1.0.0。作为通用上下文，随核心事件携带或由服务端补齐。,通用上下文参数，注意脱敏和枚举一致；不要上传手机号、邮箱等明文个人信息。
audio_duration_ms,Number,音频时长,毫秒,v1.0.0,,Chat Voice Played,FE,音频时长。取值边界：毫秒。以前端真实用户行为或客户端状态为准。,前端参数，只记录真实曝光/点击/播放/输入状态；不要从文案或预加载推断。
call_id,String,来电 ID,,v1.0.0,,Voice Call Event,BE,来电 ID。以服务端状态/日志为准。,后端权威参数，前端不要猜测或伪造；AI 实现时应从接口返回/服务端状态取得。
character_id,String,角色 ID,如 bang_chan / felix / server character id,v1.0.0,,"OB Character Confirmed,OB First Scene Message Sent,OB First Scene Completed,Home Page Viewed,Moment Opened,Moment Edit Saved,Chat Detail Opened,Chat Message Sent,Chat Voice Played,Voice Call Event,Discover Member Requested,Scene Invite Sent,Active Scene Entered,Scene Message Sent,Scene Completed,Character Profile Updated,Scene Character Selected,Scene Exit Hook Shown,OB Dream Completed",Hybrid,角色 ID。取值边界：如 bang_chan / felix / server character id。前端可上报，核心成功/状态口径需以后端确认为准。,不要把参数当成独立事件；只在关联核心事件需要解释指标时携带。
character_name,String,角色展示名/昵称,如 Bang Chan,v1.0.0,,"OB Character Confirmed,Discover Member Requested,Scene Invite Sent,Active Scene Entered,Scene Completed,Scene Message Sent,OB First Scene Completed,Scene Character Selected,Scene Exit Hook Shown,OB Dream Completed",Hybrid,角色展示名/昵称。取值边界：如 Bang Chan。前端可上报，核心成功/状态口径需以后端确认为准。,不要把参数当成独立事件；只在关联核心事件需要解释指标时携带。
chat_unread_created,Boolean,是否已生成 Chat 未读,true / false,v1.0.0,,,BE,是否已生成 Chat 未读。取值边界：true / false。以服务端状态/日志为准。,后端权威参数，前端不要猜测或伪造；AI 实现时应从接口返回/服务端状态取得。
created_by,String,创建方,user / character / system,v1.0.0,,,BE,创建方。取值边界：user / character / system。以服务端状态/日志为准。,后端权威参数，前端不要猜测或伪造；AI 实现时应从接口返回/服务端状态取得。
day_since_met,Number,相识天数,Day N,v1.0.0,,Home Page Viewed,Common,相识天数。取值边界：Day N。作为通用上下文，随核心事件携带或由服务端补齐。,通用上下文参数，注意脱敏和枚举一致；不要上传手机号、邮箱等明文个人信息。
default_language,String,默认语言,en / zh / de,v1.0.0,,App Launch,Common,默认语言。取值边界：en / zh / de。作为通用上下文，随核心事件携带或由服务端补齐。,通用上下文参数，注意脱敏和枚举一致；不要上传手机号、邮箱等明文个人信息。
