Event Name,Category,Trigger,First Version,Last Version,需求备注,参数,采集端,工程触发口径,AI执行说明,指标口径
App Launch,Login,App冷启动或从后台回到前台，开始判断登录态/OB状态,v1.0.0,v1.0.0,PMF入口指标：统计无 push 条件下的自然启动、回访和新老用户分流。,"app_version,default_language,launch_type,login_state,ob_status,token_valid",FE,App冷启动、热启动或从后台回到前台并完成基础初始化后触发一次；不要在每个页面切换时触发。,前端埋点。只记录启动/前后台恢复，不承担后端登录成功或路由成功口径。,DAU/启动回访入口；按 user_id + 自然日去重，结合 Route Decision 判断新用户进入 OB、老用户回到 Home/Chat/Scene 的路径。
Login Result,Login,登录请求返回成功、失败或取消,v1.0.0,v1.0.0,用于登录成功率、失败原因、新老用户分流,"duration_ms,error_code,is_new_user,login_method,next_route,result",Hybrid,登录请求返回最终结果后触发；成功以服务端/SDK确认拿到有效登录态为准，取消/失败也记录 result。,前端可上报结果，但成功口径必须对齐后端/SDK，不要只用按钮点击判断。,登录成功率、新老用户分流；成功率=success用户/发起登录用户。
Route Decision,Login,Splash完成状态判断并跳转到OB/Home/Active Scene,v1.0.0,v1.0.0,验证登录后是否正确路由,"has_active_scene,login_state,ob_status,reason,target_route",FE,Splash 完成登录态、OB状态、Active Scene 状态判断并实际跳转时触发。,前端埋点。只记录最终目标路由，不需要为每个中间判断单独埋点。,启动后承接路径分布；用于看用户被路由到 OB/Home/Active Scene 的比例。
OB Character Confirmed,OB,用户确认首位角色成功,v1.0.0,v1.0.0,首位关系建立关键节点,"character_id,character_name,ob_stage,previous_character_id,rank_index",Hybrid,用户确认首位角色且后端成功保存/创建关系后触发。,前后端协同。核心指标用成功保存后的事件，不用纯点击确认。,首位关系建立率；分子为成功确认角色用户，分母为 OB 进入用户。
OB First Scene Message Sent,OB,楼下偶遇自由文字对话中发送消息,v1.0.0,v1.0.0,新手实时对话参与度,"character_id,input_type,message_length,scene_id,turn_index",Hybrid,用户在 OB 楼下自由对话中发送消息且服务端成功创建 message_id 后触发。,核心 PMF 事件。不要只在点击发送时计入成功；失败可另记 result=fail 或 Client Error。,首日核心互动率；分子为 OB 中成功发出首条自由消息用户。
OB First Scene Completed,OB,OB 中第一个公司 scene 达成完成条件。,v1.0.0,v1.0.0,用于看 OB 中完成第一个 scene 的人数。,"character_id,character_name,friend_created",Hybrid,OB 公司 scene 中添加联系方式成功后上报；此事件代表 OB 第一个 scene 完成。,需要带用户在 OB 选择的 character_id/character_name；friend_created=true 表示添加联系方式成功。,OB 第一个 Scene 完成率；用 friend_created 判断是否成功添加联系方式。
OB Dream Completed,OB,用户完成 OB 中的梦境流程。,v1.0.0,v1.0.0,用于看 OB 中完成梦境的人数，以及 OB 选择角色分布。,"character_id,character_name",FE,梦境完成并进入下一步 OB 流程时上报；中途退出不报 Completed。,带 character_id/character_name，记录用户 OB 中选择的是哪个角色。,OB 梦境完成人数、完成率；看新用户是否完成关键入门体验。
Home Page Viewed,Home,Home页角色海报、相识天数、Moment列表渲染完成,v1.0.0,v1.0.0,主站承接和关系沉淀访问,"character_id,day_since_met,entry_source,has_unread_chat,moment_count",FE,Home 页核心数据和角色海报/Moment 列表渲染完成后触发。,前端埋点。曝光即可，不代表用户喜爱。,主站承接率、回访到达率；可用于 D1/D3/D7 回访入口。
Moment Opened,Home,用户点击Home中的Moment进入详情或回放,v1.0.0,v1.0.0,记忆内容回看率,"character_id,entry_source,has_snapshot,moment_date,moment_id,scene_id",FE,用户点击 Moment 并进入详情/回放页时触发。,前端埋点。只在用户主动打开时触发，列表曝光不算。,记忆内容回看率；喜爱度信号之一。
Moment Edit Saved,Home,用户修改Moment展示图或正文并保存成功,v1.0.0,v1.0.0,记忆资产二次投入,"character_id,edit_type,moment_id,source",Hybrid,用户修改 Moment 图/文并保存成功后触发；成功以服务端保存完成为准。,前后端协同。不要在进入编辑页或点击保存但失败时计入成功。,记忆资产二次投入率；强喜爱度信号。
Discover Member Requested,Home,用户在后续添加角色 / Discover Member 页面选择或发起添加某个角色。,v1.0.0,v1.0.0,用于看后续添加角色页的角色选择偏好。,"character_id,character_name,source,request_result",FE,用户点击添加/请求添加角色时上报；如有成功状态，可通过 request_result 区分。,必须带 character_id 和 character_name；request_result 如当前已能取到则带 success/fail/pending，否则 1.0 可先为空。,后续添加角色页中用户选择了哪些角色；看角色偏好和扩展关系需求。
Chat Detail Opened,Chat,用户点击某个角色会话进入Chat详情页,v1.0.0,v1.0.0,角色聊天打开率和未读清零,"character_id,entry_source,is_active_scene_locked,last_message_type,unread_count_before",FE,用户主动点击某角色会话进入详情页且消息列表渲染完成时触发。,前端埋点。不要把系统自动跳转/预加载算作主动打开，需带 source。,角色聊天打开率、回访后进入聊天比例。
Chat Message Sent,Chat,用户在普通Chat中发送文本或图片+文本消息,v1.0.0,v1.0.0,聊天参与度和消息类型分布,"active_scene_id,character_id,has_image,message_length,message_type,reply_pending",Hybrid,普通 Chat 中用户消息被服务端成功创建 message_id 后触发；可记录 message_type 和 message_length。,核心 PMF 事件。成功口径以后端创建消息为准，前端点击发送不是成功。,聊天参与度、人均成功消息数、首日核心互动率。
Chat Voice Played,Chat,用户点击角色语音消息播放,v1.0.0,v1.0.0,语音内容消费,"audio_duration_ms,character_id,message_id,play_result",FE,用户点击并实际开始播放角色语音消息时触发，记录 play_result 和 audio_duration_ms。,前端埋点。只曝光语音消息不算播放。,语音消费率；喜爱度信号。
Voice Call Event,Chat,角色触发App内来电/接听/拒接/未接/结束,v1.0.0,v1.0.0,来电接受率和通话贡献,"app_state,call_id,character_id,duration_ms,event_type,trigger_source",Hybrid,来电状态变化时触发 ringing/accept/reject/missed/ended；状态以通话模块确认结果为准。,前后端协同。不要让前端为每个 UI 状态重复打点，同一 call_id 状态流需可去重。,来电接受率、通话参与深度；强喜爱度信号。
Scene Invite Sent,Scene,用户选择角色后，点击发送邀请卡 / scene card，且发送成功。,v1.0.0,v1.0.0,1.0 Scene PMF 核心漏斗；发送成功后上报。,"location_id,event_id,character_id,character_name",Hybrid,以发送成功为准上报；不在点击 invite、打开角色选择页、点击发送按钮但未成功时上报。1.0 不要求 invite_id/message_id。,location/event 只传 ID；角色仍保留 character_id/character_name。,Scene 邀请发送成功人数、次数；按 location_id/event_id/character 拆解邀请偏好。
Active Scene Entered,Scene,用户实际进入正在进行中的 Scene 聊天界面。,v1.0.0,v1.0.0,重点统计用户是否真正进入并开始玩 Scene；location/event 使用 ID。,"scene_id,location_id,event_id,character_id,character_name,entry_source",Hybrid,进入 active scene 聊天界面后上报；包括发送邀请成功后点击 Go Now 进入、重新打开 app 后恢复进入、从进行中 scene 拦截弹窗返回。,如后端能提供 scene_id，则必须带 scene_id；location/event 只传 ID；角色保留 character_id/character_name。,真实进入 Scene 的用户数和次数；可用于看今天玩过 Scene 的用户，次日是否又打开 app 或再次进入 Scene。
Scene Message Sent,Scene,用户在 active scene 聊天界面成功发送一条消息。,v1.0.0,v1.0.0,用于看 scene 中用户聊了多少轮；location/event 使用 ID。,"scene_id,location_id,event_id,character_id,character_name,message_length,turn_index",FE,用户消息发送成功后上报；不要求等待 AI 回复返回。,1.0 不需要 chat reply result、回复耗时或失败细节；location/event 只传 ID。,Scene 内用户消息量、用户参与深度；可按 scene_id、location_id、event_id、character 拆分。
Scene Completed,Scene,用户触发让当前 active scene 结束的动作，或系统判定 scene 到期结束。,v1.0.0,v1.0.0,完成=当前 active scene 被结束；不等待拍立得生成结果；completion_reason 必传。,"scene_id,location_id,event_id,character_id,character_name,completion_reason,total_turns",Hybrid,不要求前端等待拍立得/回忆生成结果。只要当前 active scene 被结束，就上报 Scene Completed；结束来源通过 completion_reason 区分：manual_exit、exit_hook_leave、expired_24h、switch_scene_exit。,前端触发结束动作时即可上报或通知后端上报；系统到期由后端上报。total_turns 为该 scene 内用户消息轮数。location/event 只传 ID。,Scene 完成人数、完成次数；按 completion_reason 看是主动退出、离场钩子离开、24h 到期，还是为了进入其它 scene 而结束。
Scene Entry Clicked,Scene,用户点击进入 Scene 入口。,v1.0.0,v1.0.0,1.0 Scene PMF 漏斗起点。,source,FE,点击 Scene 入口后立即上报；入口可以是首页入口、tab、卡片或其它导流位。,如能识别入口来源，带 source；不需要复杂后端配合。,Scene 入口点击人数、次数；用于看有多少用户对 Scene 产生初始兴趣。
Scene Location Selected,Scene,用户选择具体 location。,v1.0.0,v1.0.0,1.0 Scene PMF 漏斗；location/event 使用 ID。,location_id,FE,用户点击/确认某个 location 后上报；如只是曝光不报。,只上报 location_id，不上报 location_name。location_id 需能在配置表或 BI 维表中映射成人可读名称。,各 location 的选择人数、次数；看哪个地点最能吸引用户继续进入 event 选择。
